"spo","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC","gene","funct","NCBI","Vib_fold_diff","Mari_fold_diff","CC_fold_diff"
"SPO3399",0.98,0.061,1.1,0.091,1.1,0.098,1.2,0.13,"SPO3399","alcohol dehydrogenase, zinc-containing","SPO_RS17210",0.17,0.17,0.29
"SPO3400",0.96,0.02,0.96,0.014,0.95,0.031,0.96,0.013,"DMGDH","dimethylglycine dehydrogenase (choline catabolism)","SPO_RS17215",0,-0.015,0
"SPO3401",0.83,0.16,0.93,0.15,1,0.08,0.99,0.11,"SPO3401","hypothetical protein","SPO_RS17220",0.16,0.27,0.25
"SPO3402",0.95,0.04,0.88,0.024,0.86,0.058,0.94,0.055,"SPO3402","transporter, LysE family","SPO_RS17225",-0.11,-0.14,-0.015
"SPO3403",1.1,0.016,1,0.034,1,0.013,1.1,0.035,"SPO3403","DNA-binding protein, putative","SPO_RS17230",-0.14,-0.14,0
"SPO3404",0.97,0.049,0.98,0.064,0.95,0.054,0.99,0.024,"SPO3404","hypothetical protein","SPO_RS17235",0.015,-0.03,0.029
"SPO3405",1,0.032,1,0.017,1,0.008,1,0.007,"SPO3405","hypothetical protein","SPO_RS17240",0,0,0
"SPO3406",1,0.048,0.9,0.11,0.92,0.02,1,0.041,"SPO3406","transcriptional regulator, TetR family","SPO_RS17245",-0.15,-0.12,0
"SPO3407",0.85,0.12,0.95,0.1,1,0.047,1,0.069,"SPO3407","hypothetical protein","SPO_RS17250",0.16,0.23,0.23
"SPO3408",1.1,0.05,1,0.049,1,0.03,1.1,0.036,"SPO3408","acetyl-CoA C-acetyltransferase","SPO_RS17255",-0.14,-0.14,0
"SPO3409",0.96,0.088,1.1,0.084,1,0.17,1.2,0.098,"SPO3409","anti-anti-sigma factor","SPO_RS17260",0.19,0.058,0.32
"SPO3410",0.98,0.057,0.94,0.089,0.91,0.038,0.97,0.056,"SPO3410","anti-sigma B factor, putative","SPO_RS17265",-0.06,-0.11,-0.015
"SPO3411",0.96,0.021,0.99,0.035,0.97,0.013,0.98,0.025,"SPO3411","gamma-glutamyltranspeptidase, putative","SPO_RS17270",0.044,0.015,0.029
"SPO3412",0.98,0.045,0.97,0.052,1,0.026,1,0.027,"SPO3412","hypothetical protein","SPO_RS17275",-0.015,0.029,0.029
"SPO3413",1,0.05,1,0.062,1,0.03,1,0.021,"SPO3413","auxin efflux carrier family protein","SPO_RS17280",0,0,0
"SPO3414",1,0.017,1,0.022,1,0.024,0.98,0.006,"SPO3414","lipoprotein, putative","SPO_RS17285",0,0,-0.029
"SPO3418",1.1,0.024,0.87,0.048,0.99,0.011,0.94,0.019,"SPO3418","amidase family protein","SPO_RS17305",-0.33,-0.15,-0.22
"SPO3419",0.43,NA,NA,NA,0.74,NA,0.98,NA,"SPO3419","ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family","SPO_RS17310",NA,0.77,1.2
"SPO3420",0.97,0.026,1,0.032,0.95,0.018,1.1,0.017,"SPO3420","hypothetical protein","SPO_RS17315",0.044,-0.03,0.18
"SPO3421",0.2,0.2,0.59,0.3,0.25,0.25,0.45,0.45,"SPO3421","hypothetical protein","SPO_RS17320",1.5,0.31,1.1
"SPO3422",1,0.097,0.97,0.062,1.1,0.046,0.78,0.13,"SPO3422","ATP-dependent protease La domain protein","SPO_RS17325",-0.044,0.14,-0.35
"SPO3423",1.1,0.027,1.1,0.016,1.1,0.01,1.1,0.023,"SPO3423","thioredoxin","SPO_RS17330",0,0,0
"SPO3424",0.97,0.022,1,0.013,0.97,0.015,0.98,0.028,"SPO3424","leucine rich repeat protein","SPO_RS22315",0.044,0,0.015
"SPO3425",1.1,0.026,1,0.037,1.1,0.022,1,0.043,"SPO3425","exodeoxyribonuclease III, putative","SPO_RS17340",-0.14,0,-0.14
"SPO3427",0.77,NA,0,NA,0,NA,0.84,NA,"ribBA","3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II","SPO_RS17350",-6.3,-6.3,0.12
"SPO3428",1,0.02,0.96,0.033,0.95,0.029,0.99,0.028,"SPO3428","hypothetical protein","SPO_RS17355",-0.058,-0.073,-0.014
"SPO3429",0.96,0.031,0.96,0.019,0.86,0.031,0.96,0.011,"SPO3429","alanine racemase domain protein","SPO_RS17360",0,-0.16,0
"SPO3431",0.9,0.037,0.97,0.016,0.88,0.028,0.94,0.049,"SPO3431","hypothetical protein","SPO_RS17370",0.11,-0.032,0.062
"SPO3434",1.2,NA,NA,NA,1.2,NA,NA,NA,"SPO3434","hypothetical protein","SPO_RS17385",NA,0,NA
"SPO3435",0.98,0.039,0.91,0.079,0.95,0.015,0.9,0.079,"SPO3435","glutathione S-transferase family protein","SPO_RS17390",-0.11,-0.044,-0.12
"SPO3436",1,0.065,1,0.03,1,0.034,0.99,0.052,"SPO3436","hypothetical protein","SPO_RS17395",0,0,-0.014
"SPO3437",1,0.045,1,0.028,0.99,0.013,0.99,0.026,"SPO3437","mechanosensitive ion channel family protein","SPO_RS17400",0,-0.014,-0.014
"SPO3438",1.1,0.098,1,0.096,1.1,0.071,1.1,0.09,"SPO3438","hypothetical protein","SPO_RS17405",-0.14,0,0
"SPO3439",0.93,0.089,0.98,0.004,1,0.036,0.93,0.079,"SPO3439","enoyl-CoA hydratase/isomerase family protein","SPO_RS17410",0.075,0.1,0
"SPO3440",0.94,0.091,0.97,0.043,0.96,0.063,0.94,0.088,"SPO3440","20-beta-hydroxysteroid dehydrogenase, putative","SPO_RS17415",0.045,0.03,0
"SPO3441",0.99,0.017,0.99,0.012,0.99,0.016,1,0.016,"SPO3441","hypothetical protein","SPO_RS17420",0,0,0.014
"SPO3442",1,0.025,0.96,0.035,0.97,0.022,0.94,0.005,"SPO3442","PmbA","SPO_RS17425",-0.058,-0.044,-0.088
"SPO3443",0.98,0.078,1,0.065,0.97,0.06,1.1,0.023,"SPO3443","inositol monophosphatase family protein","SPO_RS17430",0.029,-0.015,0.17
"SPO3446",0.99,0.091,1,0.089,0.8,0.19,1.1,0.076,"SPO3446","thiol:disulfide interchange protein, DsbA family","SPO_RS17445",0.014,-0.3,0.15
"SPO3448",1,0.022,1.1,0.014,1,0.02,1,0.019,"mutY","A/G-specific adenine glycosylase","SPO_RS17455",0.14,0,0
"SPO3449",0.93,0.012,0.98,0.034,0.97,0.025,0.94,0.036,"SPO3449","fatty acid desaturase family protein","SPO_RS17460",0.075,0.06,0.015
"SPO3450",1,0.018,1,0.006,1,0.012,1,0.018,"SPO3450","adenylate/guanylate cyclase","SPO_RS17465",0,0,0
"SPO3452",1.1,0.02,1,0.027,1.1,0.029,1.1,0.014,"rnhB","ribonuclease HII","SPO_RS17475",-0.14,0,0
"SPO3452a",0.9,0.1,0.82,0.027,0.91,0.025,0.96,0.059,"SPO3452a","hypothetical protein","SPO_RS17480",-0.13,0.016,0.092
"SPO3453",1,0.05,0.99,0.089,0.93,0.053,1,0.032,"SPO3453","hypothetical protein","",-0.014,-0.1,0
"SPO3454",0.97,0.024,0.98,0.021,0.98,0.003,1,0.028,"SPO3454","hypothetical protein","SPO_RS17490",0.015,0.015,0.044
"SPO3455",0.99,0.024,1,0.029,1,0.011,1,0.016,"SPO3455","adenylate/guanylate cyclase","SPO_RS17500",0.014,0.014,0.014
"SPO3456",0.99,0.043,0.95,0.029,0.94,0.016,0.98,0.036,"SPO3456","flagellar protein, putative","SPO_RS17505",-0.059,-0.074,-0.014
"SPO3457",0.94,0.084,0.89,0.044,0.98,0.025,0.93,0.036,"SPO3457","flagellin synthesis repressor protein FlbT, putative","SPO_RS17510",-0.078,0.06,-0.015
"SPO3459",0.86,0.04,0.97,0.021,0.91,0.013,0.9,0.037,"SPO3459","flagellin protein","SPO_RS17520",0.17,0.081,0.065
"SPO3460",0.94,0.023,0.96,0.042,0.95,0.023,0.96,0.053,"SPO3460","hypothetical protein","SPO_RS17525",0.03,0.015,0.03
"SPO3461",1,0.048,0.97,0.019,0.98,0.058,0.98,0.014,"SPO3461","flagellar protein FlgJ, putative","SPO_RS17530",-0.044,-0.029,-0.029
"SPO3462",0.99,0.015,0.96,0.016,0.98,0.016,0.98,0.007,"SPO3462","flagellar hook-length control protein","",-0.044,-0.014,-0.014
"SPO3463",0.92,0.056,0.94,0.018,0.94,0.018,0.93,0.025,"flgD","basal-body rod modification protein FlgD","SPO_RS17540",0.031,0.031,0.015
"SPO3464",0.51,0.16,0.81,0.092,0.78,0.039,0.96,0.037,"SPO3464","hypothetical protein","SPO_RS17545",0.66,0.6,0.9
"SPO3465",0.94,0.026,0.91,0.021,0.97,0.014,0.99,0.013,"SPO3465","hypothetical protein","SPO_RS17550",-0.046,0.045,0.074
"SPO3466",0.94,0.009,0.97,0.02,0.92,0.036,0.95,0.026,"potI","putrescine ABC transporter, permease protein","SPO_RS17555",0.045,-0.031,0.015
"SPO3467",0.98,0.044,0.98,0.03,0.96,0.025,1,0.014,"potH","putrescine ABC transporter, permease protein","SPO_RS17560",0,-0.029,0.029
"SPO3468",0.96,0.008,1,0.024,0.99,0.007,0.98,0.018,"potG","putrescine ABC transporter, ATP-binding protein","SPO_RS17565",0.058,0.044,0.029
"SPO3469",1,0.017,1,0.008,1,0.018,1,0.01,"potF","putrescine ABC transporter, periplasmic putrescine-binding protein","SPO_RS17570",0,0,0
"SPO3470",0.97,0.03,0.96,0.027,0.97,0.013,0.98,0.023,"SPO3470","transcriptional regulator, GntR family","SPO_RS17575",-0.015,0,0.015
"SPO3471",0.95,0.011,0.93,0.008,0.96,0.017,0.92,0.008,"SPO3471","aminotransferase, class III","SPO_RS17580",-0.03,0.015,-0.046
"SPO3472",0.96,0.026,1,0.018,1,0.024,0.96,0.043,"SPO3472","polyamine ABC transporter, ATP-binding protein","SPO_RS17585",0.058,0.058,0
"SPO3473",0.95,0.02,0.98,0.008,0.99,0.022,0.95,0.02,"SPO3473","polyamine ABC transporter, periplasmic polyamine-binding protein","SPO_RS17590",0.044,0.059,0
"SPO3474",0.99,0.027,1.1,0.019,1,0.031,1,0.019,"SPO3474","polyamine ABC transporter, permease protein","SPO_RS17595",0.15,0.014,0.014
"SPO3475",0.97,0.017,0.99,0.034,0.98,0.015,0.97,0.009,"SPO3475","polyamine ABC transporter, permease protein","SPO_RS17600",0.029,0.015,0
"SPO3476",1,0.027,1,0.005,1,0.047,0.95,0.075,"SPO3476","hypothetical protein","SPO_RS17605",0,0,-0.073
"SPO3477",0.99,0.019,0.96,0.037,1,0.007,0.98,0.04,"SPO3477","hypothetical protein","SPO_RS17610",-0.044,0.014,-0.014
"SPO3478",0.98,0.004,0.83,0.013,0.92,0.02,0.9,0.009,"glcD","glycolate oxidase, GlcD subunit","SPO_RS17615",-0.24,-0.09,-0.12
"SPO3479",0.98,0.018,0.72,0.046,0.92,0.022,0.87,0.037,"glcE","glycolate oxidase, GlcE subunit","SPO_RS17620",-0.44,-0.09,-0.17
"SPO3480",0.94,0.036,0.83,0.041,0.89,0.025,0.86,0.014,"glcF","glycolate oxidase, iron-sulfur subunit","SPO_RS17625",-0.18,-0.078,-0.13
"SPO3481",0.98,0.013,0.99,0.031,0.97,0.024,1,0.037,"SPO3481","hypothetical protein","SPO_RS17630",0.014,-0.015,0.029
"SPO3482",1,0.037,0.98,0.024,0.97,0.014,0.93,0.031,"SPO3482","trypsin domain protein","SPO_RS17635",-0.029,-0.044,-0.1
"SPO3483",0.98,0.039,0.97,0.037,0.97,0.014,0.99,0.041,"SPO3483","hypothetical protein","SPO_RS17640",-0.015,-0.015,0.014
"SPO3484",1,0.021,1,0.007,0.99,0.015,0.99,0.021,"SPO3484","heat shock protein, Hsp20 family","SPO_RS17645",0,-0.014,-0.014
"SPO3485",1,0.026,0.93,0.074,0.93,0.022,0.97,0.05,"SPO3485","hypothetical protein","SPO_RS17650",-0.1,-0.1,-0.044
"SPO3486",0.86,0.13,0.71,0.24,0.99,0.059,0.82,0.092,"SPO3486","hypothetical protein","SPO_RS17655",-0.27,0.2,-0.068
"SPO3487",0.94,0.071,0.91,0.069,0.92,0.021,0.94,0.038,"SPO3487","hypothetical protein","SPO_RS17660",-0.046,-0.031,0
"SPO3488",1.1,0.034,1.1,0.035,1.1,0.019,1.1,0.012,"SPO3488","peptidoglycan binding domain protein","SPO_RS17665",0,0,0
"SPO3489",1.4,NA,NA,NA,NA,NA,1.7,0.017,"pheT","phenylalanyl-tRNA synthetase, beta subunit","SPO_RS17670",NA,NA,0.28
"SPO3490",1.2,0.088,1.1,0.028,1.1,0.085,1,0.083,"SPO3490","transcriptional regulator, LysR family","SPO_RS17675",-0.12,-0.12,-0.26
"SPO3491",1,0.05,0.97,0.047,0.99,0.011,0.96,0.028,"SPO3491","methyltransferase, UbiE/COQ5 family","SPO_RS17680",-0.044,-0.014,-0.058
"SPO3492",0.92,0.054,1,0.045,1,0.033,0.98,0.059,"SPO3492","hypothetical protein","SPO_RS17685",0.12,0.12,0.09
"SPO3493",1,0.025,0.99,0.02,0.96,0.028,0.96,0.038,"SPO3493","transporter, putative","SPO_RS17690",-0.014,-0.058,-0.058
"SPO3494",0.95,0.046,0.98,0.018,1,0.019,1,0.013,"SPO3494","glutathione S-transferase family protein","SPO_RS17695",0.044,0.073,0.073
"SPO3495",0.85,0.039,0.94,0.054,0.88,0.046,0.93,0.046,"mscL","large conductance mechanosensitive channel protein","SPO_RS17700",0.14,0.049,0.13
"SPO3496",0.93,0.092,0.9,0.11,1,0.1,1,0.089,"SPO3496","mechanosensitive ion channel family protein","SPO_RS17705",-0.047,0.1,0.1
"SPO3498",0.97,0.005,0.96,0.022,0.9,0.007,1,0.01,"tuf-2","translation elongation factor Tu","SPO_RS17715",-0.015,-0.11,0.044
"SPO3498a",0.93,0.021,0.88,0.044,0.85,0.023,0.94,0.022,"SPO3498a","hypothetical protein","SPO_RS17720",-0.079,-0.13,0.015
"SPO3502",0.98,0.007,1,0.012,1,0.01,1,0.017,"SPO3502","hypothetical protein","SPO_RS17740",0.029,0.029,0.029
"SPO3503",1,0.045,1,0.034,1,0.025,1,0.034,"SPO3503","hypothetical protein","SPO_RS17745",0,0,0
"SPO3504",1,0.033,0.97,0.038,1,0.021,1,0.028,"SPO3504","hypothetical protein","SPO_RS17750",-0.044,0,0
"SPO3505",1,0.02,1,0.015,1,0.014,1,0.023,"SPO3505","hypothetical protein","SPO_RS17755",0,0,0
"SPO3506",1.1,0.091,1,0.053,1.1,0.086,1,0.09,"SPO3506","DNA-binding protein, putative","SPO_RS17760",-0.14,0,-0.14
"SPO3511",1,0.022,0.99,0.023,1,0.016,1,0.009,"SPO3511","hypothetical protein","SPO_RS17785",-0.014,0,0
"SPO3512",0.98,0.049,0.94,0.039,1,0.035,0.95,0.033,"SPO3512","hypothetical protein","SPO_RS17790",-0.06,0.029,-0.044
"SPO3513",0.16,0.16,0.14,0.14,0.9,0.053,0.6,0.3,"rplA","ribosomal protein L1","SPO_RS17795",-0.18,2.4,1.8
"SPO3515",1,0.034,0.98,0.019,1,0.016,0.99,0.009,"SPO3515","hypothetical protein","SPO_RS22320",-0.029,0,-0.014
"SPO3516",0.38,0.38,0.54,0.54,0.88,0.11,0.57,0.57,"nusG","transcription termination/antitermination factor NusG","SPO_RS17815",0.5,1.2,0.57
"SPO3518",0.94,0.14,0.98,0.039,0.97,0.056,0.97,0.11,"SPO3518","hypothetical protein","SPO_RS17825",0.06,0.045,0.045
"SPO3519",0.96,0.039,1,0.017,0.97,0.025,0.97,0.044,"ccoS","cytochrome oxidase maturation protein, cbb3-type","SPO_RS17830",0.058,0.015,0.015
"SPO3520",0.94,0.031,0.94,0.009,0.95,0.009,0.91,0.02,"SPO3520","copper-translocating P-type ATPase","SPO_RS17835",0,0.015,-0.046
"SPO3521",0.9,0.046,0.92,0.078,0.89,0.033,0.84,0.067,"SPO3521","fixH protein, putative","SPO_RS17840",0.031,-0.016,-0.098
"SPO3522",0.9,0.031,0.92,0.03,0.92,0.019,0.89,0.047,"SPO3522","iron-sulfur-binding protein, RdxA/RdxB/FixG family","SPO_RS17845",0.031,0.031,-0.016
"SPO3523",0.91,0.047,0.97,0.065,0.95,0.03,0.9,0.051,"ccoP-1","cytochrome c oxidase, cbb3-type, subunit III","SPO_RS17850",0.091,0.061,-0.016
"SPO3524",0.95,0.045,0.91,0.035,0.98,0.031,0.86,0.024,"ccoQ-1","cytochrome c oxidase, cbb3-type, subunit IV","SPO_RS17855",-0.061,0.044,-0.14
"SPO3525",0.84,0.016,0.86,0.041,0.91,0.036,0.84,0.037,"ccoO-1","cytochrome c oxidase, cbb3-type, subunit II","SPO_RS17860",0.034,0.11,0
"SPO3526",0.93,0.019,0.93,0.023,0.95,0.013,0.89,0.026,"ccoN-1","cytochrome c oxidase, cbb3-type, subunit I","SPO_RS17865",0,0.03,-0.063
"SPO3527",1.1,0.028,1,0.014,1,0.011,1,0.021,"SPO3527","universal stress protein family protein","SPO_RS17870",-0.14,-0.14,-0.14
"SPO3528",1.1,0.093,1.1,0.095,1,0.078,1.1,0.052,"SPO3528","hypothetical protein","SPO_RS17875",0,-0.14,0
"SPO3529",1,0.042,1,0.036,1,0.02,1,0.041,"glyA-3","serine hydroxymethyltransferase","SPO_RS17880",0,0,0
"SPO3530",1,0.036,1,0.007,1,0.019,1,0.021,"SPO3530","transcriptional regulator, LysR family","SPO_RS17885",0,0,0
"SPO3531",0.98,0.033,0.97,0.024,0.96,0.015,0.93,0.048,"fnrL","transcriptional activator protein FnrL","SPO_RS17890",-0.015,-0.029,-0.075
"SPO3532",1,0.017,0.99,0.013,0.99,0.015,0.98,0.019,"hemN","oxygen-independent coproporphyrinogen III oxidase","SPO_RS17895",-0.014,-0.014,-0.029
"SPO3533",0.94,0.029,0.88,0.019,0.89,0.03,0.9,0.031,"SPO3533","translation elongation factor G, putative","SPO_RS17900",-0.094,-0.078,-0.062
"SPO3534",1.1,0.18,0.89,0.32,0.65,0.17,0.75,0.11,"yejF","putative microcin C transport system ATP-binding protein","SPO_RS17905",-0.3,-0.75,-0.55
"SPO3535",0.95,0.027,0.94,0.11,0.91,0.034,0.81,0.1,"yejE","putative microcin C transport system permease protein","SPO_RS17910",-0.015,-0.061,-0.23
"SPO3536",0.88,0.076,0.96,0.062,0.81,0.064,0.92,0.096,"yejB","putative microcin C transport system permease protein","SPO_RS17915",0.12,-0.12,0.063
"SPO3537",1,0.015,1,0.018,0.98,0.015,1,0.03,"yejA","putative microcin C transport system substrate-binding protein","SPO_RS17920",0,-0.029,0
"SPO3538",0.93,0.034,0.93,0.02,0.87,0.009,0.9,0.042,"cycM","cytochrome c552","SPO_RS17925",0,-0.095,-0.047
"SPO3539",0.004,0.004,0.076,0.044,0.043,0.043,0.2,0.068,"SPO3539","prephenate dehydratase","SPO_RS17930",2.6,1.9,3.9
"SPO3540",1,0.016,1,0.02,1,0.01,1,0.01,"SPO3540","hypothetical protein","SPO_RS17935",0,0,0
"SPO3541",1.1,0.022,1,0.014,1,0.026,1,0.035,"SPO3541","hydrolase, NUDIX family","SPO_RS17940",-0.14,-0.14,-0.14
"SPO3542",1,0.021,0.99,0.026,0.95,0.017,0.98,0.031,"SPO3542","2`,3`-cyclic-nucleotide 2`-phosphodiesterase, putative","SPO_RS17945",-0.014,-0.073,-0.029
"SPO3543",0.89,0.053,0.94,0.049,0.94,0.05,0.92,0.06,"SPO3543","hypothetical protein","SPO_RS17950",0.078,0.078,0.047
"SPO3544",0.95,0.014,0.96,0.026,0.92,0.012,0.93,0.018,"SPO3544","allantoicase","SPO_RS17955",0.015,-0.046,-0.03
"SPO3545",0.98,0.016,0.97,0.015,0.95,0.004,0.92,0.015,"SPO3545","transcriptional regulator, TetR family","SPO_RS17960",-0.015,-0.044,-0.09
"SPO3546",1,0.037,0.95,0.022,1,0.03,0.98,0.027,"SPO3546","zinc metallopeptidase, putative","SPO_RS17965",-0.073,0,-0.029
"SPO3547",1,0.052,1,0.049,0.99,0.025,1,0.042,"SPO3547","hypothetical protein","SPO_RS17970",0,-0.014,0
"SPO3548",1,0.027,1,0.049,1,0.006,1.1,0.031,"SPO3548","hypothetical protein","SPO_RS17975",0,0,0.14
"SPO3549",0.9,0.058,0.95,0.029,0.89,0.011,0.98,0.019,"SPO3549","hypothetical protein","",0.077,-0.016,0.12
"SPO3550",1.1,0.1,0.96,0.21,0.83,0.093,1,0.094,"dnaX","DNA polymerase III, gamma and tau subunits","SPO_RS17985",-0.19,-0.4,-0.14
"SPO3551",0.91,0.031,0.93,0.025,0.92,0.054,0.91,0.026,"SPO3551","acetyltransferase, GNAT family","SPO_RS17990",0.031,0.016,0
"SPO3552",0.94,0.047,1,0.032,0.98,0.026,1,0.017,"SPO3552","oxidoreductase, FAD-binding protein","SPO_RS17995",0.088,0.06,0.088
"SPO3553",1,0.023,1,0.021,1,0.021,1,0.035,"SPO3553","hypothetical protein","SPO_RS18000",0,0,0
"SPO3554",1,0.021,1,0.012,1.1,0.027,1.1,0.032,"SPO3554","hypothetical protein","SPO_RS18005",0,0.14,0.14
"SPO3555",1,0.021,1,0.018,1,0.012,1,0.016,"SPO3555","transglycosylase, Slt family","SPO_RS18010",0,0,0
"SPO3557",0.98,0.059,0.9,0.051,0.97,0.048,0.97,0.036,"soeC","Sulfite dehydrogenase subunit SoeC%3B transmembrane sulfate transporter","SPO_RS18020",-0.12,-0.015,-0.015
"SPO3558",0.9,0.011,0.94,0.019,0.96,0.023,0.96,0.012,"soeB","Sulfite dehydrogenase iron-sulfur cluster-binding subunit SoeB%3B cytosolic protein","SPO_RS18025",0.062,0.092,0.092
"SPO3559",0.9,0.009,0.94,0.01,0.95,0.01,0.94,0.015,"soeA","Sulfite dehydrogenase molybdopterin cofactor-binding subunit SoeA%3B cytosolic protein","SPO_RS18030",0.062,0.077,0.062
"SPO3560",0.96,0.048,0.94,0.008,0.97,0.014,0.96,0.016,"pta","phosphate acetyltransferase","SPO_RS18035",-0.03,0.015,0
"SPO3561",0.39,0.052,0.75,0.037,0.47,0.074,0.68,0.023,"xsc","sulfoacetaldehyde acetyltransferase","SPO_RS18040",0.93,0.26,0.79
"SPO3562",0.84,0.019,0.89,0.041,0.85,0.063,0.9,0.027,"tauR","Taurine transcriptional regulator","SPO_RS18045",0.082,0.017,0.098
"SPO3563",1,0.027,0.98,0.04,1,0.032,1,0.018,"SPO3563","transcriptional regulator, ArsR family","SPO_RS18050",-0.029,0,0
"SPO3564",0.99,0.016,0.98,0.016,0.97,0.01,0.97,0.021,"SPO3564","permease, putative","SPO_RS18055",-0.014,-0.029,-0.029
"SPO3565",1,0.065,0.95,0.052,1,0.049,1,0.048,"SPO3565","hypothetical protein","SPO_RS18060",-0.073,0,0
"SPO3566",0.94,0.022,0.98,0.034,0.97,0.036,0.95,0.039,"SPO3566","hypothetical protein","SPO_RS18065",0.06,0.045,0.015
"SPO3567",1,0.04,1,0.034,1,0.043,1,0.022,"SPO3567","ribonuclease T2 family protein","SPO_RS18070",0,0,0
"SPO3568",1,0.036,1,0.033,1.1,0.025,1,0.029,"SPO3568","hypothetical protein","SPO_RS18075",0,0.14,0
"SPO3569",1.1,0.034,1.1,0.041,1.1,0.017,1,0.035,"recR","recombination protein RecR","SPO_RS18080",0,0,-0.14
"SPO3570",0.88,0.021,0.93,0.022,0.94,0.033,0.98,0.032,"SPO3570","putative protein TIGR00103","SPO_RS18085",0.079,0.094,0.15
"SPO3571",1,0.011,1,0.008,1,0.013,0.99,0.013,"SPO3571","transcriptional regulator, AraC family","SPO_RS18090",0,0,-0.014
"SPO3572",0.89,0.027,0.93,0.056,0.94,0.028,0.93,0.041,"SPO3572","isochorismatase family protein","SPO_RS18095",0.063,0.078,0.063
"SPO3573",1,0.038,0.98,0.046,0.97,0.018,0.96,0.014,"SPO3573","NADPH-dependent FMN reductase domain protein","SPO_RS18100",-0.029,-0.044,-0.058
"SPO3574",1,0.028,0.95,0.034,0.95,0.035,0.96,0.058,"SPO3574","hypothetical protein","SPO_RS18105",-0.073,-0.073,-0.058
"SPO3575",0.93,0.098,1,0.054,0.99,0.063,0.93,0.062,"SPO3575","transcriptional regulator, MerR family","SPO_RS18110",0.1,0.089,0
"SPO3576",1.1,0.031,1.1,0.014,1.1,0.02,1.1,0.013,"SPO3576","OmpA domain protein","SPO_RS18115",0,0,0
"SPO3577",0.93,0.018,0.91,0.033,0.92,0.06,0.94,0.025,"SPO3577","hypothetical protein","SPO_RS18120",-0.031,-0.015,0.015
"SPO3578",0.96,0.049,0.92,0.023,0.93,0.041,0.88,0.043,"SPO3578","ADA regulatory protein","SPO_RS18125",-0.061,-0.045,-0.12
"SPO3579",1.1,0.007,1,0.007,1.1,0.004,1.1,0.018,"SPO3579","transcriptional regulator, MarR family","SPO_RS18130",-0.14,0,0
"SPO3580",0.93,0.034,0.96,0.028,0.97,0.026,0.96,0.026,"SPO3580","isochorismatase family protein","SPO_RS18135",0.045,0.06,0.045
"SPO3581",1.1,0.033,1.1,0.022,1.1,0.023,1.1,0.048,"nth","endonuclease III","SPO_RS18140",0,0,0
"SPO3582",1.1,0.01,1.1,0.02,1,0.009,1,0.019,"SPO3582","kinase, pfkB family","SPO_RS18145",0,-0.14,-0.14
"SPO3583",1,0.031,0.94,0.038,0.96,0.015,0.94,0.034,"pecS","transcriptional regulator PecS","SPO_RS18150",-0.088,-0.058,-0.088
"SPO3584",1.1,0.046,1,0.027,1,0.012,1,0.043,"SPO3584","membrane protein, drug/metabolite transporter (DMT) family","SPO_RS18155",-0.14,-0.14,-0.14
"SPO3585",0.91,0.047,0.97,0.029,0.99,0.03,1,0.018,"rppH nudH","RNA pyrophosphohydrolase (EC 3.6.1.-)","SPO_RS18160",0.091,0.12,0.13
"SPO3586",1,0.011,0.98,0.007,1,0.008,0.98,0.011,"fadH","2,4-dienoyl-CoA reductase","SPO_RS18165",-0.029,0,-0.029
"SPO3587",0.99,0.02,0.99,0.018,1,0.007,1,0.007,"SPO3587","hypothetical protein","SPO_RS18170",0,0.014,0.014
"SPO3588",1,0.013,1,0.05,1,0.043,0.98,0.052,"SPO3588","hypothetical protein","SPO_RS18175",0,0,-0.029
"SPO3589",0.92,0.031,0.8,0.07,0.86,0.015,0.96,0.02,"SPO3589","hypothetical protein","SPO_RS18180",-0.2,-0.096,0.061
"SPO3590",0.92,0.023,0.93,0.01,0.88,0.042,0.9,0.033,"SPO3590","hypothetical protein","SPO_RS18185",0.015,-0.063,-0.031
"SPO3591",1,0.031,0.98,0.03,0.95,0.01,0.94,0.019,"SPO3591","auxin efflux carrier family protein","SPO_RS18190",-0.029,-0.073,-0.088
"SPO3592",0.94,0.032,0.99,0.026,0.97,0.015,0.96,0.036,"SPO3592","transcriptional regulator, LysR family","SPO_RS18195",0.074,0.045,0.03
"SPO3593",0.99,0.009,1,0.017,1,0.015,1,0.006,"SPO3593","sulfatase family protein","SPO_RS18200",0.014,0.014,0.014
"SPO3594",0.7,0.088,0.96,0.02,0.73,0.038,0.93,0.056,"pheS","phenylalanyl-tRNA synthetase, alpha subunit","SPO_RS18205",0.45,0.06,0.4
"SPO3595",0.96,0.01,0.97,0.02,1,0.007,0.98,0.024,"SPO3595","transcriptional regulator, AraC family","SPO_RS18210",0.015,0.058,0.029
"SPO3596",0.97,0.034,0.96,0.051,0.97,0.022,0.95,0.029,"SPO3596","pyridoxamine 5'-phosphate oxidase family protein","SPO_RS18215",-0.015,0,-0.03
"SPO3597",1,0.004,1,0.015,0.96,0.006,0.98,0.018,"SPO3597","amine oxidase, flavin-containing","SPO_RS18220",0,-0.058,-0.029
"SPO3598",1.1,0.35,0.79,0.15,1.3,0.21,0.83,0.092,"rplT","ribosomal protein L20","SPO_RS18225",-0.47,0.24,-0.4
